Unnamed: 0,name,phno,date,employee_id,employee_name,branch,ids,product_id,product_type,product_name,product_company,Quantity_ordered,Price of commodity,Total_price,net_price
0.0,Yeshaswini Hadimani,8567219555,17-01-2022,202,Ramesh,KOR,7d5ccb3d-fe5b-4ed6-858c-691665e81823,45,Agricultural Tools,Tin Cutter,Simco,4,1356,5424,1152.6
1.0,Tony Ballal,9161093554,21-01-2022,202,Ramesh,KOR,444d1655-3f8e-431c-9d55-a37ad419bef4,67,Agricultural Tools,Axe Tamilnadu Pattern,Mathana,10,400,4000,348.0
2.0,Hanumappa Beegadkai,7927846692,07-01-2022,201,Reema,KOR,b68d426a-b353-4748-bf10-1cb406e1b18c,330,Building item,Granet Polish Blade,Jonbhandari,10,90,900,80.1
3.0,Chandana Limbekai,6275331519,10-01-2022,104,Pranav,DSH,1f6a5555-b2e5-4e74-ad94-b9cf226c9629,463,Paint,Roller with handel,KPL,5,90,450,73.8
4.0,Chetan Kattimani,7576398080,13-01-2022,204,Renuka,KOR,1d493dd0-4567-4f53-9e89-be12ccecbad9,375,Paint,White,Asian,6,116,696,104.4
5.0,Keshaw Tenginkai,8423660653,21-01-2022,202,Ramesh,KOR,a1a5d08e-d4d3-4d76-a316-5ed884cfe525,498,Building item,Welding Rod,Osima,10,280,2800,243.6
6.0,Vidya Hanagi,7332435782,08-01-2022,104,Pranav,DSH,42069b2b-2314-4eeb-a4d2-4511cc9da82b,487,Building item,Karni,Tiger,6,75,450,60.75
7.0,Kubera Bandi,6834467331,20-01-2022,303,Suraj,VIJ,4bb0e9d0-b48a-4c79-9a06-06137112d2e8,209,Electrical,Tape,Wonder,9,20,180,16.4
8.0,Darshan Amavasya,6665703777,21-01-2022,104,Pranav,DSH,06c531e9-0d89-45be-a4b5-c7fb0f51a940,158,Agricultural Tools,Niles(Iron),Ebba,7,110,770,95.7
9.0,Saraswati Limbekai,6575479476,01-01-2022,104,Pranav,DSH,ea957c4f-edcc-4186-a863-057f594f0dc4,443,Paint,Red,Applecoat,8,240,1920,192.0
10.0,Arjun Hublikar,6239206102,31-01-2022,301,Suma,VIJ,8960cdac-f217-4671-9a6a-eb3219b9036d,292,Building item,Handle,Padmini,4,25,100,21.25
11.0,Hanumappa Pai,8953525885,28-01-2022,203,Rama,KOR,7fd7e677-c3f4-427b-a793-598327d3103a,460,Paint,Roller with handel,Asian,1,120,120,100.8
12.0,Kavita Kuri,7659865929,03-01-2022,204,Renuka,KOR,b2ba970e-2a04-483d-87db-cd74341d504c,266,Building item,Wood Cutter,Jonbhandari,3,185,555,151.7
13.0,Shiva Kudari,9554469663,21-01-2022,104,Pranav,DSH,1d3dd613-216b-4e88-af7c-63464f0f85ee,314,Building item,Rod Cutting Blade,Jonbhandari,8,20,160,17.4
14.0,Prateek Kudari,8066724500,24-01-2022,301,Suma,VIJ,32ef0b91-bf93-4d68-a24b-2172e4e03554,520,Building item,Saw,Trishool,6,135,810,112.05
15.0,Lavanya Shenoy,9383500717,22-01-2022,204,Renuka,KOR,0c5e2993-bd8e-4fac-b802-930d2e14e1da,306,Building item,Tower Bolt(steel),Raju,9,65,585,55.25
16.0,Prajwal Rao,8696327221,22-01-2022,203,Rama,KOR,e18749f3-ca00-4d3c-8812-53d44df8ad9f,186,Building item,Hammer,Simco,1,400,400,320.0
17.0,Rajesh Hanagi,7929076818,31-01-2022,204,Renuka,KOR,22814812-ce4a-4e98-a12f-c29aa716fa53,248,Building item,Felicol,Pidilite,4,260,1040,226.2
18.0,Yeshaswini Hanagi,9034176804,03-01-2022,301,Suma,VIJ,2dbf50d3-54d4-4fc0-8660-c14241c93da9,352,Building item,Hinjus,Bita,2,35,70,31.15
19.0,Dhanush Amavasya,7051069800,03-01-2022,304,Suhas,VIJ,ed857420-577b-460d-89fd-0455a57d3aa4,481,Building item,RedOxide,Tata,9,180,1620,154.8
20.0,Ganesh Reddy,9956197075,11-01-2022,303,Suraj,VIJ,39d440c2-a8c8-4d35-840f-51900b4f144d,412,Paint,Green,Applecoat,1,50,50,40.0
